   2.9093031e+02  -5.6004927e+01
   2.9089608e+02  -5.6065639e+01
   2.9086176e+02  -5.6126342e+01
   2.9082735e+02  -5.6187038e+01
   2.9079284e+02  -5.6247725e+01
   2.9075824e+02  -5.6308405e+01
   2.9072354e+02  -5.6369076e+01
   2.9068874e+02  -5.6429739e+01
   2.9065385e+02  -5.6490394e+01
   2.9061886e+02  -5.6551040e+01
   2.9058377e+02  -5.6611678e+01
   2.9054859e+02  -5.6672308e+01
   2.9051330e+02  -5.6732929e+01
   2.9047792e+02  -5.6793542e+01
   2.9044244e+02  -5.6854146e+01
   2.9040685e+02  -5.6914742e+01
   2.9037117e+02  -5.6975329e+01
   2.9033536e+02  -5.7035936e+01
   2.9029946e+02  -5.7096536e+01
   2.9026345e+02  -5.7157127e+01
   2.9022734e+02  -5.7217710e+01
   2.9019112e+02  -5.7278284e+01
   2.9015480e+02  -5.7338849e+01
   2.9011838e+02  -5.7399405e+01
   2.9008184e+02  -5.7459952e+01
   2.9004521e+02  -5.7520490e+01
   2.9000846e+02  -5.7581019e+01
   2.8997161e+02  -5.7641540e+01
   2.8993465e+02  -5.7702050e+01
   2.8989759e+02  -5.7762552e+01
   2.8986041e+02  -5.7823045e+01
   2.8982312e+02  -5.7883528e+01
   2.8978573e+02  -5.7944003e+01
   2.8974822e+02  -5.8004467e+01
   2.8971060e+02  -5.8064923e+01
   2.8967287e+02  -5.8125369e+01
   2.8963500e+02  -5.8185847e+01
   2.8959702e+02  -5.8246304e+01
   2.8955893e+02  -5.8306751e+01
   2.8952073e+02  -5.8367189e+01
   2.8948241e+02  -5.8427617e+01
   2.8944397e+02  -5.8488035e+01
   2.8940542e+02  -5.8548444e+01
   2.8936675e+02  -5.8608842e+01
   2.8932796e+02  -5.8669231e+01
   2.8928905e+02  -5.8729610e+01
   2.8925002e+02  -5.8789978e+01
   2.8921088e+02  -5.8850337e+01
   2.8917161e+02  -5.8910686e+01
   2.8913222e+02  -5.8971024e+01
   2.8909271e+02  -5.9031352e+01
   2.8905307e+02  -5.9091670e+01
   2.8901331e+02  -5.9151978e+01
   2.8897343e+02  -5.9212275e+01
   2.8893341e+02  -5.9272579e+01
   2.8889326e+02  -5.9332886e+01
   2.8885298e+02  -5.9393181e+01
   2.8881257e+02  -5.9453466e+01
   2.8877203e+02  -5.9513741e+01
   2.8873137e+02  -5.9574004e+01
   2.8869058e+02  -5.9634257e+01
   2.8864965e+02  -5.9694499e+01
   2.8860860e+02  -5.9754730e+01
   2.8856741e+02  -5.9814950e+01
   2.8852609e+02  -5.9875159e+01
   2.8848464e+02  -5.9935357e+01
   2.8844305e+02  -5.9995544e+01
